drug_name,nafdac_number,manufacturer,batch_number,barcode,label,note
DEMO Metronidazole 400mg,04-4197,Sample Health Nigeria Ltd,B88400,3127243918451,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-91331,Sample Health Nigeria Ltd,B15699,2756118169830,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-6559,Demo Life Sciences Ltd,12,2816805264485,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Ibuprofen 200mg,A4-23366,Demo Life Sciences Ltd,B95394,4131106981808,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxcillin 500mg,A11-5863,Sample Remedies Ltd,B65882,4404788401360,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Amoxicillin 500mg,999999,Demo Life Sciences Ltd,B38865,6878726965204,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Ibuprofen 200mg,04-2690,Example Healthcare Ltd,B,2519857374514,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,04-4929,Demo Life Sciences Ltd,B54787,5675946382986,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-97355,Sample Health Nigeria Ltd,B18909,5301519226658,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-6380,Example Laboratories Ltd,B,3051709950008,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,04-8209,Sample Remedies Ltd,B54493,5280050559095,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-64155,Example Laboratories Ltd,B68335,8035813428164,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-7046,Sample Health Nigeria Ltd,B,4129062713522,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Zinc 20mg,A4-5517,Example Laboratories Ltd,B43381,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Vitamin C 100mg,A11-4481,Sample Remedies Ltd,B57918,7706834585028,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-6068,Sample Remedies Ltd,,7725428201727,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,A11-3952,Sample Health Nigeria Ltd,B82218,2779002840291,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxcillin 500mg,A11-7760,Example Healthcare Ltd,B89453,7844914204568,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Ibuprofen 200mg,A11-4441,Sample Remedies Ltd,B82197,3460867319139,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-48630,Example Laboratories Ltd,B59521,7345253768717,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-4953,Example Laboratories Ltd,B62341,8335657865967,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-5206,Example Healthcare Ltd,B31667,4247295052757,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-2651,Sample Remedies Ltd,B74714,7766026383076,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-4323,Sample Remedies Ltd,B21779,4949395316217,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-6655,Example Healthcare Ltd,B58539,9370030126191,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-89087,Demo Pharma Nigeria Ltd,B88044,9989466736001,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-7393,Sample Health Nigeria Ltd,B55384,5148382519657,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-57247,Demo Life Sciences Ltd,B52947,5448830801811,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-2770,Demo Life Sciences Ltd,B67826,1977913929360,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,FAKE-0001,Demo Pharma Nigeria Ltd,B86304,9953417922586,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Amoxicillin 500mg,A4-63263,Example Healthcare Ltd,B21537,3412765943384,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-2528,Sample Remedies Ltd,B41017,6013016036932,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-1534,Example Healthcare Ltd,B77204,9543641707082,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-8307,Demo Pharma Nigeria Ltd,B71318,2727290452699,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxcillin 500mg,04-8329,Example Healthcare Ltd,B92919,2260498642205,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Amoxicillin 500mg,A11-4869,Sample Health Nigeria Ltd,B34858,9680669975251,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-38453,Sample Remedies Ltd,B72956,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Ibuprofen 200mg,A4-99412,Sample Health Nigeria Ltd,B29176,1038751981009,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-12X,Demo Pharma Nigeria Ltd,B28794,5670231782383,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Paracetamol 500mg,A11-2699,Demo Pharma Nigeria Ltd,B45570,7723682205668,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-64582,Example Healthcare Ltd,B60793,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Metronidazole 400mg,A11-9309,Demo Pharma Nigeria Ltd,B98467,4706590962708,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-4726,Example Healthcare Ltd,B99368,7791158243962,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-3604,Demo Pharma Nigeria Ltd,B28050,2668377455222,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-6411,Example Laboratories Ltd,B29057,8224485447594,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-93064,Demo Pharma Nigeria Ltd,???,2215342864505,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Vitamin C 100mg,A4-78874,Sample Health Nigeria Ltd,B66882,1316051299986,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-3233,Sample Remedies Ltd,B,2898409496398,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,A11-1890,Example Healthcare Ltd,B57071,8806811855342,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,FAKE-0001,Demo Life Sciences Ltd,B78396,2154639326599,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Paracetamol 500mg,A4-98468,Example Laboratories Ltd,B97769,8890103248764,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-12666,Demo Pharma Nigeria Ltd,B83844,7744175755290,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-85911,Example Healthcare Ltd,B37780,5547492300637,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-7627,Example Laboratories Ltd,B80819,9218383753123,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-96101,Example Laboratories Ltd,,2696772104867,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Metronidazole 400mg,A4-64183,Example Laboratories Ltd,B92606,9857667384531,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-6539,Sample Remedies Ltd,B16393,1844270416069,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-98016,Demo Pharma Nigeria Ltd,B35564,8090135655749,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-3118,Sample Health Nigeria Ltd,B80195,7931738021839,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-22795,Example Healthcare Ltd,B69262,8466358681770,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-45793,Example Laboratories Ltd,B38819,5460445703809,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-94568,Example Laboratories Ltd,B87858,1278035533324,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-7713,Demo Pharma Nigeria Ltd,12,3318513545638,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetomol 500mg,A11-8158,Example Healthcare Ltd,B29433,5781634793366,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO @@@ 500mg,A4-74654,Demo Pharma Nigeria Ltd,B40635,7390151920490,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Cetirizine 10mg,A11-1155,Demo Pharma Nigeria Ltd,B52851,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Ibuprofen 200mg,A4-27047,Example Laboratories Ltd,B15232,6207483671312,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-2522,Example Healthcare Ltd,B91259,9297077558491,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-1551,Example Healthcare Ltd,B21985,2080995670912,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-9417,Demo Pharma Nigeria Ltd,12,2192878728562,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,04-9448,Demo Life Sciences Ltd,B46839,6746207749882,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-2527,Sample Remedies Ltd,B50264,4114574406142,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-8194,Example Laboratories Ltd,B80326,2381783917033,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO @@@ 500mg,A11-8933,Example Laboratories Ltd,B39717,7174448825552,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Amoxicillin 500mg,NAFDAC-XYZ-000,Example Healthcare Ltd,B77739,7200113072076,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Artemether 20mg,A11-6596,Sample Health Nigeria Ltd,B61194,3608507024645,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-67799,Demo Life Sciences Ltd,B-XYZ,2215718129957,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Metronidazole 400mg,A4-9584,Demo Life Sciences Ltd,B16666,5021549581726,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-84697,Example Healthcare Ltd,B39758,7686156788721,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-50419,Sample Remedies Ltd,B59121,7843795166660,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-6777,Demo Life Sciences Ltd,B74929,5426313232715,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,04-5333,Sample Health Nigeria Ltd,B76375,1646653019376,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-45606,Sample Health Nigeria Ltd,B40138,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Amoxicillin 500mg,A4-43762,Sample Remedies Ltd,B29522,1856687845032,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-9778,Example Laboratories Ltd,B58486,1289341790225,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A1--77,Demo Pharma Nigeria Ltd,B94695,2506284996797,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Vitamin C 100mg,A4-25748,Demo Life Sciences Ltd,B37725,7836787470756,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-8262,Sample Health Nigeria Ltd,B55018,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Metronidazole 400mg,A11-7756,Example Healthcare Ltd,B41480,3365841989437,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-4617,Demo Pharma Nigeria Ltd,B,5740959082260,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Artemether 20mg,A4-93928,Example Healthcare Ltd,B44121,8495533491952,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-9644,Example Healthcare Ltd,???,9865420270486,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,A4-57993,Example Healthcare Ltd,B67320,6046996371057,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-33736,Sample Remedies Ltd,B46748,7742567415839,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-1506,Demo Pharma Nigeria Ltd,B48707,8654687910291,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-3846,Demo Pharma Nigeria Ltd,B78339,5985830132351,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-2000,Example Healthcare Ltd,B32972,3475279365672,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,NAFDAC-XYZ-000,Sample Health Nigeria Ltd,B62354,1195511101336,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Cetirizine 10mg,A4-45735,Demo Life Sciences Ltd,B30599,4985663691086,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-90485,Demo Life Sciences Ltd,B90373,1099150006458,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,NAFDAC-XYZ-000,Demo Life Sciences Ltd,B71351,2825114073482,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Metronidazole 400mg,A4-30726,Example Healthcare Ltd,B63947,9578335419211,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-11376,Sample Remedies Ltd,B79445,3019743034071,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-64756,Sample Remedies Ltd,B74026,1165940225876,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO @@@ 500mg,A11-1925,Demo Life Sciences Ltd,B66842,8294677440937,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Vitamin C 100mg,04-3012,Demo Life Sciences Ltd,B64305,3210094349284,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-92642,Sample Remedies Ltd,B24611,ABC123456789,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Amoxicillin 500mg,04-5582,Demo Life Sciences Ltd,,1160748632576,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO @@@ 500mg,A11-5952,Example Laboratories Ltd,B74371,9153119969359,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Paracetamol 500mg,A4-42307,Demo Pharma Nigeria Ltd,B86480,6524454302280,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-7325,Demo Life Sciences Ltd,B55158,7657930239094,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-31908,Example Healthcare Ltd,B86407,5252218098079,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-4392,Sample Health Nigeria Ltd,B21738,4320896979702,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A1--77,Example Laboratories Ltd,B51752,9483115602828,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Zinc 20mg,A4-59392,Sample Health Nigeria Ltd,B69100,8665499644771,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,04-5880,Sample Remedies Ltd,,3321046082329,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Vitamin C 100mg,04-4735,Demo Pharma Nigeria Ltd,B70381,4057623529740,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-8610,Example Laboratories Ltd,B77838,3566101603736,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,A11-6856,Demo Life Sciences Ltd,B38573,5017505429292,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Paracetamol 500mg,A11-2374,Sample Remedies Ltd,B89657,5403386717476,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-2889,Example Laboratories Ltd,B21942,3579343884224,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-4172,Example Laboratories Ltd,B47291,5696887912199,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-41918,Demo Life Sciences Ltd,B37551,6862014988659,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-8291,Sample Remedies Ltd,B32346,5108925906946,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-63609,Sample Remedies Ltd,B86218,6341640331979,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-8044,Example Laboratories Ltd,B41034,4791521149148,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,FAKE-0001,Sample Health Nigeria Ltd,B39215,6412354865301,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Paracetomol 500mg,04-7633,Example Laboratories Ltd,B80879,6691195456896,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Artemether 20mg,A4-10095,Sample Remedies Ltd,B96384,2320689098868,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-1028,Example Healthcare Ltd,B-XYZ,5072571383719,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Amoxicillin 500mg,A4-72872,Sample Health Nigeria Ltd,B36197,2178291809318,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-42941,Sample Health Nigeria Ltd,B33922,5536575159080,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-88207,Sample Health Nigeria Ltd,B75729,9740216366219,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-85691,Example Laboratories Ltd,B87356,5034271190983,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-70969,Sample Remedies Ltd,B39627,9788743597735,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-7119,Example Healthcare Ltd,B12796,4526539389190,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-4604,Example Healthcare Ltd,B55625,3371278853703,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-8672,Example Healthcare Ltd,B74506,5198583368244,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-7670,Demo Life Sciences Ltd,B33923,9100821503292,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-7723,Demo Life Sciences Ltd,B54513,2115442489967,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-2359,Demo Pharma Nigeria Ltd,B36700,9432165593177,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-17122,Sample Remedies Ltd,B74222,9935271615433,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-35419,Demo Life Sciences Ltd,B84285,2601212394665,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-1974,Demo Pharma Nigeria Ltd,B93489,3381168500391,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-3456,Example Healthcare Ltd,B40206,1295289995479,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-33464,Sample Health Nigeria Ltd,B44075,4466509636203,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4/ABC,Demo Pharma Nigeria Ltd,B64384,2819028701407,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Zinc 20mg,04-3830,Sample Remedies Ltd,B93566,5537974199839,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,A11-4908,Example Laboratories Ltd,B16120,8598451218241,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Ibuprofen 200mg,A11-9342,Example Laboratories Ltd,B82575,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Vitamin C 100mg,A11-7018,Example Laboratories Ltd,B13266,6906066832944,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-7766,Example Laboratories Ltd,B81929,ABC123456789,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Zinc 20mg,A11-9739,Sample Remedies Ltd,B86660,5033944788140,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-9042,Sample Health Nigeria Ltd,B48258,8914705601388,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-5209,Sample Remedies Ltd,B78126,5522608444015,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-57012,Sample Remedies Ltd,B55240,2366215597709,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxcillin 500mg,A11-8061,Sample Remedies Ltd,B53497,3310495853816,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Zinc 20mg,A4-17827,Demo Life Sciences Ltd,B85431,2278935332664,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-2036,Example Laboratories Ltd,???,3371043829211,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Cetirizine 10mg,A11-8342,Sample Remedies Ltd,B74892,1529636835991,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-12748,Demo Pharma Nigeria Ltd,???,3327014603338,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Zinc 20mg,A11-6288,Example Healthcare Ltd,B90524,2673769778881,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-72430,Example Laboratories Ltd,B54188,2406621897648,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-9300,Example Laboratories Ltd,B50981,8852785742335,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,999999,Demo Pharma Nigeria Ltd,B90842,9366689689517,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Artemether 20mg,A11-2710,Example Healthcare Ltd,B41964,5072052113512,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-6318,Sample Health Nigeria Ltd,B87306,7347451685298,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-8191,Demo Pharma Nigeria Ltd,B68835,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Zinc 20mg,04-9447,Example Laboratories Ltd,B46199,2228234986400,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-37518,Sample Health Nigeria Ltd,B58345,3671816369566,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-31417,Example Healthcare Ltd,B69812,2772635883580,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-7945,Example Healthcare Ltd,B44933,4108450538525,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-13168,Sample Remedies Ltd,B36086,9695823628312,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-7284,Sample Health Nigeria Ltd,B81429,1528468134851,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-3985,Sample Health Nigeria Ltd,B82041,1835069087140,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxcillin 500mg,04-6382,Example Laboratories Ltd,B77636,5569092977155,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Paracetomol 500mg,A11-1327,Demo Life Sciences Ltd,B50164,8582095013073,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Cetirizine 10mg,A4-3032,Example Laboratories Ltd,B29464,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Zinc 20mg,04-5452,Sample Remedies Ltd,B73408,2839235906904,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-9747,Example Laboratories Ltd,B78778,2798154375922,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-69716,Example Laboratories Ltd,B62807,3768656368816,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-7564,Demo Pharma Nigeria Ltd,B75562,1388577025511,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-8850,Sample Health Nigeria Ltd,B38181,5244761715618,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-6382,Demo Pharma Nigeria Ltd,B39217,5695427927672,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-1027,Sample Health Nigeria Ltd,B65599,1708689608946,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-7875,Example Laboratories Ltd,B41690,3587257166935,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-1239,Sample Remedies Ltd,B65391,1293331989223,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-2100,Example Laboratories Ltd,B17224,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Amoxicillin 500mg,A4-31945,Demo Life Sciences Ltd,B47845,6223944674825,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,FAKE-0001,Example Healthcare Ltd,B22472,4855533812572,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Ibuprofen 200mg,A4-70051,Sample Remedies Ltd,B60003,1622259505065,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,NAFDAC-XYZ-000,Demo Life Sciences Ltd,B75508,3592539718498,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Zinc 20mg,04-8993,Sample Health Nigeria Ltd,B73677,1800358687452,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-4835,Demo Life Sciences Ltd,B86825,3112331401466,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-15862,Example Laboratories Ltd,B89782,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
